date,avg_temp,daylight_hours,bad_weather,hours_overcast,gloomy_today,gloomy_past_two_days,gloomy_past_three_days,noise_complaints,other_complaints,total,day_of_week
2015-03-04,40,11,1,23,1,1,1,555,7323,7878,Wed
2015-03-05,30,11,1,22,1,1,1,605,6086,6691,Thu
2015-03-06,20,12,,0,0,0,0,660,6807,7467,Fri
2015-03-07,28,12,,6,0,0,0,1083,4431,5514,Sat
2015-03-08,43,12,,8,0,0,0,1014,3918,4932,Sun
2015-03-09,47,12,1,6,0,0,0,704,7059,7763,Mon
2015-03-10,46,12,1,10,1,0,0,623,7595,8218,Tue
2015-03-11,52,12,1,4,0,0,0,753,7468,8221,Wed
2015-03-12,42,12,,0,0,0,0,699,7527,8226,Thu
2015-03-13,37,12,,1,0,0,0,780,6363,7143,Fri
2015-03-14,46,12,1,23,1,0,0,1253,4034,5287,Sat
2015-03-15,40,12,,18,1,1,0,1158,4019,5177,Sun
2015-03-16,44,12,,3,0,0,0,599,7145,7744,Mon
2015-03-17,46,12,1,10,1,0,0,647,6785,7432,Tue
2015-03-18,34,12,,5,0,0,0,609,7314,7923,Wed
2015-03-19,36,12,,1,0,0,0,635,6738,7373,Thu
2015-03-20,34,12,1,18,1,0,0,709,5884,6593,Fri
2015-03-21,38,12,1,17,1,1,0,1238,3718,4956,Sat
2015-03-22,36,12,,0,0,0,0,1273,3307,4580,Sun
2015-03-23,30,12,,0,0,0,0,620,6771,7391,Mon
2015-03-24,36,12,,7,0,0,0,619,6339,6958,Tue
2015-03-25,42,12,1,11,1,0,0,636,5949,6585,Wed
2015-03-26,52,12,1,24,1,1,0,603,6005,6608,Thu
2015-03-27,42,12,1,23,1,1,1,850,6055,6905,Fri
2015-03-28,33,12,1,23,1,1,1,1279,3490,4769,Sat
2015-03-29,36,13,,7,0,0,0,1266,3249,4515,Sun
2015-03-30,45,13,1,13,1,0,0,696,6377,7073,Mon
2015-03-31,41,13,1,8,0,0,0,694,6412,7106,Tue
2015-04-01,42,13,,1,0,0,0,730,6071,6801,Wed
2015-04-02,54,13,,3,0,0,0,815,5645,6460,Thu
2015-04-03,62,13,1,19,1,0,0,975,4627,5602,Fri
2015-04-04,51,13,1,7,0,0,0,1252,3196,4448,Sat
2015-04-05,52,13,,9,0,0,0,1359,2456,3815,Sun
2015-04-06,52,13,,1,0,0,0,935,5826,6761,Mon
2015-04-07,52,13,1,23,1,0,0,821,6071,6892,Tue
2015-04-08,41,13,1,24,1,1,0,763,6222,6985,Wed
2015-04-09,40,13,1,24,1,1,1,763,5852,6615,Thu
2015-04-10,48,13,1,18,1,1,1,933,5024,5957,Fri
2015-04-11,50,13,,0,0,0,0,1555,2974,4529,Sat
2015-04-12,54,13,,0,0,0,0,1512,2870,4382,Sun
2015-04-13,59,13,,0,0,0,0,749,5761,6510,Mon
2015-04-14,60,13,,12,1,0,0,787,5807,6594,Tue
2015-04-15,62,13,,0,0,0,0,917,5760,6677,Wed
2015-04-16,58,13,,0,0,0,0,887,5553,6440,Thu
2015-04-17,63,13,1,14,1,0,0,1210,5177,6387,Fri
2015-04-18,70,13,,0,0,0,0,2212,2971,5183,Sat
2015-04-19,56,13,,0,0,0,0,1662,2935,4597,Sun
2015-04-20,52,14,1,24,1,0,0,686,6523,7209,Mon
2015-04-21,58,14,1,8,0,0,0,762,6024,6786,Tue
2015-04-22,58,14,1,11,1,0,0,799,5919,6718,Wed
2015-04-23,46,14,,8,0,0,0,693,6510,7203,Thu
2015-04-24,46,14,,9,0,0,0,846,5848,6694,Fri
2015-04-25,50,14,,0,0,0,0,1702,3281,4983,Sat
2015-04-26,55,14,,7,0,0,0,1673,2878,4551,Sun
2015-04-27,56,14,,15,1,0,0,785,6066,6851,Mon
2015-04-28,60,14,,2,0,0,0,977,5754,6731,Tue
2015-04-29,64,14,,3,0,0,0,1005,5915,6920,Wed
2015-04-30,58,14,,7,0,0,0,849,5505,6354,Thu
2015-05-01,56,14,,12,1,0,0,1111,5244,6355,Fri
2015-05-02,61,14,1,7,0,0,0,1694,2829,4523,Sat
2015-05-03,66,14,,0,0,0,0,2203,2822,5025,Sun
2015-05-04,71,14,,2,0,0,0,1076,5851,6927,Mon
2015-05-05,76,14,,4,0,0,0,1073,5894,6967,Tue
2015-05-06,66,14,,16,1,0,0,1058,5700,6758,Wed
2015-05-07,68,14,1,0,0,0,0,1110,5596,6706,Thu
2015-05-08,69,14,1,0,0,0,0,1416,4761,6177,Fri
2015-05-09,64,14,1,23,1,0,0,2191,2874,5065,Sat
2015-05-10,72,14,1,11,1,1,0,2671,2504,5175,Sun
2015-05-11,77,14,1,9,0,0,0,1042,6148,7190,Mon
2015-05-12,75,14,1,5,0,0,0,964,6151,7115,Tue
2015-05-13,62,14,,6,0,0,0,760,5533,6293,Wed
2015-05-14,62,14,,0,0,0,0,1011,5586,6597,Thu
2015-05-15,65,14,,5,0,0,0,1300,4796,6096,Fri
2015-05-16,66,14,1,16,1,0,0,1874,2677,4551,Sat
2015-05-17,74,15,1,5,0,0,0,1991,2816,4807,Sun
2015-05-18,68,15,1,20,1,0,0,922,5833,6755,Mon
2015-05-19,70,15,1,12,1,1,0,919,5858,6777,Tue
2015-05-20,60,15,,2,0,0,0,803,5872,6675,Wed
2015-05-21,57,15,,18,1,0,0,828,5422,6250,Thu
2015-05-22,64,15,,10,1,1,0,1143,4385,5528,Fri
2015-05-23,60,15,,0,0,0,0,2002,2641,4643,Sat
2015-05-24,68,15,,0,0,0,0,2657,2039,4696,Sun
2015-05-25,74,15,,0,0,0,0,2582,2381,4963,Mon
2015-05-26,78,15,,0,0,0,0,1022,6268,7290,Tue
2015-05-27,78,15,1,7,0,0,0,789,6108,6897,Wed
2015-05-28,78,15,1,10,1,0,0,939,6132,7071,Thu
2015-05-29,75,15,,0,0,0,0,1310,5350,6660,Fri
2015-05-30,76,15,,0,0,0,0,2370,3122,5492,Sat
2015-05-31,72,15,1,11,1,0,0,1559,3576,5135,Sun
2015-06-01,54,15,1,24,1,1,0,633,6900,7533,Mon
2015-06-02,52,15,1,24,1,1,1,672,6052,6724,Tue
2015-06-03,61,15,,9,0,0,0,860,6097,6957,Wed
2015-06-04,60,15,,10,1,0,0,978,5470,6448,Thu
2015-06-05,62,15,1,21,1,1,0,1204,4897,6101,Fri
2015-06-06,68,15,1,10,1,1,1,2588,2847,5435,Sat
2015-06-07,64,15,,1,0,0,0,2440,2795,5235,Sun
2015-06-08,71,15,1,12,1,0,0,917,6076,6993,Mon
2015-06-09,76,15,1,9,0,0,0,876,6035,6911,Tue
2015-06-10,74,15,,0,0,0,0,1060,5995,7055,Wed
2015-06-11,80,15,1,3,0,0,0,851,6144,6995,Thu
2015-06-12,80,15,1,0,0,0,0,1024,5970,6994,Fri
2015-06-13,79,15,,2,0,0,0,2100,3436,5536,Sat
2015-06-14,77,15,1,3,0,0,0,1849,3287,5136,Sun
2015-06-15,74,15,1,23,1,0,0,635,7354,7989,Mon
2015-06-16,72,15,1,17,1,1,0,650,7164,7814,Tue
2015-06-17,74,15,1,2,0,0,0,825,6383,7208,Wed
2015-06-18,68,15,,20,1,0,0,924,5792,6716,Thu
2015-06-19,78,15,,13,1,1,0,1164,5486,6650,Fri
2015-06-20,70,15,1,20,1,1,1,2103,2993,5096,Sat
2015-06-21,80,15,1,13,1,1,1,2266,2838,5104,Sun
2015-06-22,78,15,,0,0,0,0,904,6650,7554,Mon
2015-06-23,82,15,,0,0,0,0,718,6831,7549,Tue
2015-06-24,76,15,,0,0,0,0,946,6963,7909,Wed
2015-06-25,74,15,,5,0,0,0,975,6410,7385,Thu
2015-06-26,76,15,,9,0,0,0,1269,5373,6642,Fri
2015-06-27,64,15,1,21,1,0,0,1634,2904,4538,Sat
2015-06-28,68,15,1,22,1,1,0,1793,3284,5077,Sun
2015-06-29,70,15,,8,0,0,0,1102,6946,8048,Mon
2015-06-30,75,15,1,9,0,0,0,955,6253,7208,Tue
2015-07-01,76,15,1,7,0,0,0,995,6546,7541,Wed
2015-07-02,74,15,,0,0,0,0,1017,5233,6250,Thu
2015-07-03,74,15,,0,0,0,0,1578,3180,4758,Fri
2015-07-04,72,15,1,13,1,0,0,2339,2006,4345,Sat
2015-07-05,76,15,,4,0,0,0,2289,2298,4587,Sun
2015-07-06,78,15,1,6,0,0,0,817,6026,6843,Mon
2015-07-07,82,15,1,9,0,0,0,650,6298,6948,Tue
2015-07-08,82,15,1,7,0,0,0,700,6238,6938,Wed
2015-07-09,74,15,1,17,1,0,0,659,5821,6480,Thu
2015-07-10,78,15,1,6,0,0,0,1056,5043,6099,Fri
2015-07-11,78,15,,0,0,0,0,2024,2960,4984,Sat
2015-07-12,80,15,,0,0,0,0,1966,2970,4936,Sun
2015-07-13,80,15,,0,0,0,0,801,6511,7312,Mon
2015-07-14,78,15,1,7,0,0,0,698,6343,7041,Tue
2015-07-15,77,15,1,17,1,0,0,749,6491,7240,Wed
2015-07-16,72,15,,4,0,0,0,1038,5905,6943,Thu
2015-07-17,74,15,,2,0,0,0,1191,4977,6168,Fri
2015-07-18,78,15,1,11,1,0,0,2041,2938,4979,Sat
2015-07-19,86,15,,0,0,0,0,1615,3453,5068,Sun
2015-07-20,88,15,,0,0,0,0,583,7412,7995,Mon
2015-07-21,82,15,,8,0,0,0,594,6767,7361,Tue
2015-07-22,77,15,,0,0,0,0,802,5996,6798,Wed
2015-07-23,77,15,,0,0,0,0,942,5929,6871,Thu
2015-07-24,78,15,,2,0,0,0,1096,4936,6032,Fri
2015-07-25,78,15,,1,0,0,0,2203,2857,5060,Sat
2015-07-26,82,15,,9,0,0,0,1779,2630,4409,Sun
2015-07-27,78,15,1,6,0,0,0,930,6325,7255,Mon
2015-07-28,85,14,1,1,0,0,0,660,5966,6626,Tue
2015-07-29,87,14,,0,0,0,0,665,6329,6994,Wed
2015-07-30,82,14,1,16,1,0,0,616,6243,6859,Thu
2015-07-31,80,14,1,0,0,0,0,956,5607,6563,Fri
2015-08-01,82,14,,6,0,0,0,1793,3242,5035,Sat
2015-08-02,80,14,,0,0,0,0,1641,3191,4832,Sun
2015-08-03,82,14,,1,0,0,0,705,6212,6917,Mon
2015-08-04,79,14,1,2,0,0,0,764,6279,7043,Tue
2015-08-05,80,14,,1,0,0,0,774,6362,7136,Wed
2015-08-06,75,14,,0,0,0,0,860,5691,6551,Thu
2015-08-07,76,14,,0,0,0,0,1088,5214,6302,Fri
2015-08-08,75,14,,1,0,0,0,2189,2873,5062,Sat
2015-08-09,76,14,,1,0,0,0,2016,2673,4689,Sun
2015-08-10,77,14,,11,1,0,0,824,6131,6955,Mon
2015-08-11,76,14,1,16,1,1,0,587,5643,6230,Tue
2015-08-12,78,14,,4,0,0,0,772,5669,6441,Wed
2015-08-13,75,14,,1,0,0,0,901,5466,6367,Thu
2015-08-14,78,14,,0,0,0,0,1195,4755,5950,Fri
2015-08-15,82,14,,0,0,0,0,2096,2785,4881,Sat
2015-08-16,84,14,,2,0,0,0,1753,2793,4546,Sun
2015-08-17,86,14,,6,0,0,0,661,5879,6540,Mon
2015-08-18,82,14,1,4,0,0,0,719,6335,7054,Tue
2015-08-19,82,14,,1,0,0,0,666,6210,6876,Wed
2015-08-20,82,14,,6,0,0,0,792,5409,6201,Thu
2015-08-21,79,14,1,8,0,0,0,1011,5070,6081,Fri
2015-08-22,78,14,1,0,0,0,0,2259,2643,4902,Sat
2015-08-23,78,13,,3,0,0,0,2045,2647,4692,Sun
2015-08-24,80,13,,3,0,0,0,755,5727,6482,Mon
2015-08-25,82,13,,4,0,0,0,804,5848,6652,Tue
2015-08-26,76,13,,0,0,0,0,836,5440,6276,Wed
2015-08-27,74,13,,1,0,0,0,961,5323,6284,Thu
2015-08-28,72,13,,0,0,0,0,1299,4662,5961,Fri
2015-08-29,77,13,,0,0,0,0,2454,2862,5316,Sat
2015-08-30,81,13,1,3,0,0,0,2038,2417,4455,Sun
2015-08-31,84,13,,1,0,0,0,706,6100,6806,Mon
2015-09-01,83,13,,0,0,0,0,680,7076,7756,Tue
2015-09-02,82,13,1,0,0,0,0,750,5803,6553,Wed
2015-09-03,84,13,1,0,0,0,0,663,5424,6087,Thu
2015-09-04,79,13,1,3,0,0,0,1051,5076,6127,Fri
2015-09-05,75,13,,0,0,0,0,2106,2782,4888,Sat
2015-09-06,76,13,,0,0,0,0,2599,2477,5076,Sun
2015-09-07,81,13,,0,0,0,0,2084,2787,4871,Mon
2015-09-08,86,13,,0,0,0,0,598,6447,7045,Tue
2015-09-09,83,13,1,4,0,0,0,558,6247,6805,Wed
2015-09-10,74,13,1,24,1,0,0,483,6100,6583,Thu
2015-09-11,74,13,1,11,1,1,0,1024,5551,6575,Fri
2015-09-12,74,13,1,11,1,1,1,1690,3090,4780,Sat
2015-09-13,71,13,1,9,0,0,0,1566,3009,4575,Sun
2015-09-14,68,13,,0,0,0,0,875,5702,6577,Mon
2015-09-15,73,12,,0,0,0,0,921,5517,6438,Tue
2015-09-16,77,12,,0,0,0,0,904,5747,6651,Wed
2015-09-17,78,12,,0,0,0,0,859,5791,6650,Thu
2015-09-18,78,12,,0,0,0,0,1138,5231,6369,Fri
2015-09-19,76,12,1,0,0,0,0,2252,3176,5428,Sat
2015-09-20,72,12,,5,0,0,0,1975,2720,4695,Sun
2015-09-21,66,12,,2,0,0,0,873,6120,6993,Mon
2015-09-22,66,12,,5,0,0,0,939,5502,6441,Tue
2015-09-23,70,12,,0,0,0,0,1123,5278,6401,Wed
2015-09-24,71,12,,0,0,0,0,1133,5094,6227,Thu
2015-09-25,70,12,,0,0,0,0,1333,4561,5894,Fri
2015-09-26,66,12,,0,0,0,0,2539,2701,5240,Sat
2015-09-27,64,12,,5,0,0,0,2194,2670,4864,Sun
2015-09-28,72,12,,13,1,0,0,893,5634,6527,Mon
2015-09-29,78,12,1,12,1,1,0,728,5408,6136,Tue
2015-09-30,69,12,1,22,1,1,1,664,6194,6858,Wed
2015-10-01,60,12,1,20,1,1,1,754,5313,6067,Thu
2015-10-02,52,12,1,24,1,1,1,720,6054,6774,Fri
2015-10-03,52,12,1,24,1,1,1,1322,5834,7156,Sat
2015-10-04,58,12,,16,1,1,1,1502,3994,5496,Sun
2015-10-05,60,12,,7,0,0,0,793,6281,7074,Mon
2015-10-06,62,12,,1,0,0,0,884,5527,6411,Tue
2015-10-07,66,12,,3,0,0,0,883,5932,6815,Wed
2015-10-08,66,11,,3,0,0,0,929,5547,6476,Thu
2015-10-09,70,11,1,13,1,0,0,970,4988,5958,Fri
2015-10-10,58,11,,0,0,0,0,1719,2866,4585,Sat
2015-10-11,61,11,,0,0,0,0,1850,2655,4505,Sun
2015-10-12,66,11,,0,0,0,0,1031,3805,4836,Mon
2015-10-13,66,11,,14,1,0,0,860,6226,7086,Tue
2015-10-14,63,11,,8,0,0,0,887,5347,6234,Wed
2015-10-15,58,11,,0,0,0,0,749,5709,6458,Thu
2015-10-16,58,11,,2,0,0,0,1127,5531,6658,Fri
2015-10-17,49,11,,1,0,0,0,1595,4679,6274,Sat
2015-10-18,44,11,,0,0,0,0,1304,5919,7223,Sun
2015-10-19,44,11,,1,0,0,0,712,8950,9662,Mon
2015-10-20,59,11,,6,0,0,0,793,6524,7317,Tue
2015-10-21,66,11,,0,0,0,0,956,5550,6506,Wed
2015-10-22,66,11,,1,0,0,0,1005,5050,6055,Thu
2015-10-23,55,11,1,0,0,0,0,1029,5332,6361,Fri
2015-10-24,48,11,,12,1,0,0,1733,4114,5847,Sat
2015-10-25,58,11,1,13,1,1,0,1620,2952,4572,Sun
2015-10-26,52,11,,0,0,0,0,762,6613,7375,Mon
2015-10-27,52,11,,1,0,0,0,748,6442,7190,Tue
2015-10-28,61,11,1,21,1,0,0,611,6047,6658,Wed
2015-10-29,65,11,1,7,0,0,0,784,5655,6439,Thu
2015-10-30,54,11,,0,0,0,0,1010,5299,6309,Fri
2015-10-31,49,10,,0,0,0,0,1750,3638,5388,Sat
2015-11-01,60,10,,10,1,0,0,1655,2888,4543,Sun
2015-11-02,58,10,,0,0,0,0,769,5842,6611,Mon
2015-11-03,60,10,,0,0,0,0,910,5046,5956,Tue
2015-11-04,63,10,1,0,0,0,0,819,5586,6405,Wed
2015-11-05,64,10,1,21,1,0,0,869,5494,6363,Thu
2015-11-06,70,10,1,17,1,1,0,1290,5037,6327,Fri
2015-11-07,62,10,,10,1,1,1,1844,3104,4948,Sat
2015-11-08,51,10,,0,0,0,0,1427,3258,4685,Sun
2015-11-09,51,10,,0,0,0,0,764,6716,7480,Mon
2015-11-10,54,10,1,22,1,0,0,660,5553,6213,Tue
2015-11-11,54,10,1,24,1,1,0,769,3827,4596,Wed
2015-11-12,56,10,1,21,1,1,1,761,4696,5457,Thu
2015-11-13,52,10,,1,0,0,0,894,8925,9819,Fri
2015-11-14,46,10,,0,0,0,0,1476,4683,6159,Sat
2015-11-15,48,10,,0,0,0,0,1415,3739,5154,Sun
2015-11-16,59,10,,0,0,0,0,826,6095,6921,Mon
2015-11-17,46,10,,1,0,0,0,800,6692,7492,Tue
2015-11-18,52,10,,19,1,0,0,815,6323,7138,Wed
2015-11-19,60,10,1,23,1,1,0,733,5553,6286,Thu
2015-11-20,55,10,,4,0,0,0,906,5879,6785,Fri
2015-11-21,48,10,,5,0,0,0,1556,3930,5486,Sat
2015-11-22,48,10,1,12,1,0,0,1360,3900,5260,Sun
2015-11-23,38,10,,0,0,0,0,599,7823,8422,Mon
2015-11-24,39,10,,7,0,0,0,689,7027,7716,Tue
2015-11-25,43,10,,0,0,0,0,789,5280,6069,Wed
2015-11-26,50,10,,0,0,0,0,1207,2407,3614,Thu
2015-11-27,58,10,1,0,0,0,0,1123,3402,4525,Fri
2015-11-28,54,10,,0,0,0,0,1170,2919,4089,Sat
2015-11-29,44,10,,0,0,0,0,1132,3597,4729,Sun
2015-11-30,53,10,,6,0,0,0,644,7211,7855,Mon
2015-12-01,48,9,1,24,1,0,0,594,6254,6848,Tue
2015-12-02,52,9,1,23,1,1,0,732,5769,6501,Wed
2015-12-03,50,9,,8,0,0,0,745,6237,6982,Thu
2015-12-04,46,9,,2,0,0,0,914,5876,6790,Fri
2015-12-05,46,9,,0,0,0,0,1551,3535,5086,Sat
2015-12-06,46,9,,0,0,0,0,1429,3274,4703,Sun
2015-12-07,48,9,,0,0,0,0,785,6388,7173,Mon
2015-12-08,45,9,,8,0,0,0,742,5851,6593,Tue
2015-12-09,48,9,,18,1,0,0,787,5681,6468,Wed
2015-12-10,56,9,,3,0,0,0,768,5236,6004,Thu
2015-12-11,56,9,,0,0,0,0,1029,4789,5818,Fri
2015-12-12,60,9,1,7,0,0,0,2022,2931,4953,Sat
2015-12-13,61,9,1,5,0,0,0,1693,2530,4223,Sun
2015-12-14,60,9,1,22,1,0,0,705,5650,6355,Mon
2015-12-15,60,9,1,12,1,1,0,700,5685,6385,Tue
2015-12-16,50,9,1,13,1,1,1,788,5463,6251,Wed
2015-12-17,54,9,1,24,1,1,1,745,5077,5822,Thu
2015-12-18,48,9,1,17,1,1,1,866,5066,5932,Fri
2015-12-19,38,9,,10,1,1,1,1317,4535,5852,Sat
2015-12-20,38,9,,6,0,0,0,1191,3655,4846,Sun
2015-12-21,48,9,,6,0,0,0,632,5844,6476,Mon
2015-12-22,58,9,1,19,1,0,0,701,4606,5307,Tue
2015-12-23,58,9,1,17,1,1,0,709,4570,5279,Wed
2015-12-24,68,9,1,12,1,1,1,1105,3423,4528,Thu
2015-12-25,62,9,1,15,1,1,1,1759,1476,3235,Fri
2015-12-26,53,9,1,23,1,1,1,1068,2271,3339,Sat
2015-12-27,54,9,1,23,1,1,1,1111,2743,3854,Sun
2015-12-28,40,9,1,8,0,0,0,740,5932,6672,Mon
2015-12-29,40,9,1,22,1,0,0,699,6014,6713,Tue
2015-12-30,43,9,1,22,1,1,0,833,5447,6280,Wed
2015-12-31,45,9,,21,1,1,1,911,3765,4676,Thu
2016-01-01,38,9,,15,1,1,1,1575,2749,4324,Fri
2016-01-02,36,9,,6,0,0,0,1036,3493,4529,Sat
2016-01-03,40,9,,1,0,0,0,1076,3740,4816,Sun
2016-01-04,25,9,,8,0,0,0,619,8442,9061,Mon
2016-01-05,20,9,,0,0,0,0,575,11437,12012,Tue
2016-01-06,33,9,,0,0,0,0,629,7787,8416,Wed
2016-01-07,38,9,,5,0,0,0,643,6477,7120,Thu
2016-01-08,38,9,,10,1,0,0,709,5692,6401,Fri
2016-01-09,44,9,1,22,1,1,0,1342,3660,5002,Sat
2016-01-10,50,9,1,18,1,1,1,1114,3715,4829,Sun
2016-01-11,33,9,,2,0,0,0,627,7260,7887,Mon
2016-01-12,34,10,,8,0,0,0,567,6928,7495,Tue
2016-01-13,26,10,,2,0,0,0,545,8002,8547,Wed
2016-01-14,30,10,,22,1,0,0,635,7043,7678,Thu
2016-01-15,42,10,,7,0,0,0,779,5181,5960,Fri
2016-01-16,47,10,1,21,1,0,0,1222,3132,4354,Sat
2016-01-17,36,10,1,16,1,1,0,1261,3150,4411,Sun
2016-01-18,24,10,1,1,0,0,0,772,5489,6261,Mon
2016-01-19,22,10,,2,0,0,0,591,9747,10338,Tue
2016-01-20,32,10,,6,0,0,0,627,7222,7849,Wed
2016-01-21,31,10,,4,0,0,0,612,6892,7504,Thu
2016-01-22,26,10,1,7,0,0,0,796,8394,9190,Fri
2016-01-23,26,10,1,24,1,0,0,740,4475,5215,Sat
2016-01-24,28,10,1,7,0,0,0,646,3866,4512,Sun
2016-01-25,34,10,,5,0,0,0,560,7622,8182,Mon
2016-01-26,43,10,,4,0,0,0,625,7820,8445,Tue
2016-01-27,40,10,1,7,0,0,0,724,7501,8225,Wed
2016-01-28,37,10,,4,0,0,0,588,6142,6730,Thu
2016-01-29,36,10,,10,1,0,0,841,5585,6426,Fri
2016-01-30,34,10,,0,0,0,0,1310,3707,5017,Sat
2016-01-31,46,10,,0,0,0,0,1270,3340,4610,Sun
2016-02-01,52,10,1,7,0,0,0,664,5830,6494,Mon
2016-02-02,44,10,,0,0,0,0,698,5954,6652,Tue
2016-02-03,50,10,1,19,1,0,0,663,5847,6510,Wed
2016-02-04,52,10,1,21,1,1,0,718,6100,6818,Thu
2016-02-05,38,10,1,14,1,1,1,754,5522,6276,Fri
2016-02-06,35,10,,0,0,0,0,1255,3593,4848,Sat
2016-02-07,40,10,,0,0,0,0,1320,3367,4687,Sun
2016-02-08,34,10,1,20,1,0,0,709,5853,6562,Mon
2016-02-09,32,10,1,21,1,1,0,587,6356,6943,Tue
2016-02-10,35,10,1,20,1,1,1,631,6338,6969,Wed
2016-02-11,24,11,1,9,0,0,0,501,6843,7344,Thu
2016-02-12,21,11,,10,1,0,0,866,7920,8786,Fri
2016-02-13,14,11,,3,0,0,0,1052,6515,7567,Sat
2016-02-14,7,11,,0,0,0,0,1081,8826,9907,Sun
2016-02-15,24,11,1,19,1,0,0,781,7955,8736,Mon
2016-02-16,44,11,1,20,1,1,0,680,8591,9271,Tue
2016-02-17,37,11,,16,1,1,1,806,6751,7557,Wed
2016-02-18,32,11,,0,0,0,0,786,6496,7282,Thu
2016-02-19,32,11,,8,0,0,0,850,6119,6969,Fri
2016-02-20,50,11,,7,0,0,0,1430,3622,5052,Sat
2016-02-21,50,11,1,10,1,0,0,1357,3163,4520,Sun
2016-02-22,45,11,,1,0,0,0,738,6441,7179,Mon
2016-02-23,38,11,1,18,1,0,0,591,6376,6967,Tue
2016-02-24,48,11,1,24,1,1,0,601,6906,7507,Wed
2016-02-25,49,11,1,17,1,1,1,688,7077,7765,Thu
2016-02-26,34,11,,6,0,0,0,768,6555,7323,Fri
2016-02-27,34,11,,0,0,0,0,1337,3996,5333,Sat
2016-02-28,49,11,,0,0,0,0,1330,3308,4638,Sun
2016-02-29,54,11,1,3,0,0,0,655,6302,6957,Mon
2016-03-01,46,11,,5,0,0,0,623,6177,6800,Tue
2016-03-02,42,11,1,7,0,0,0,670,6178,6848,Wed
2016-03-03,31,11,,6,0,0,0,668,6375,7043,Thu
2016-03-04,34,11,1,15,1,0,0,715,5506,6221,Fri
2016-03-05,34,12,,7,0,0,0,1414,3848,5262,Sat
2016-03-06,38,12,,8,0,0,0,1317,3255,4572,Sun
2016-03-07,48,12,1,0,0,0,0,759,6044,6803,Mon
2016-03-08,57,12,1,3,0,0,0,795,6195,6990,Tue
2016-03-09,60,12,1,0,0,0,0,1018,5748,6766,Wed
2016-03-10,71,12,,8,0,0,0,1209,5688,6897,Thu
2016-03-11,58,12,1,8,0,0,0,1157,5849,7006,Fri
2016-03-12,50,12,,0,0,0,0,1696,3478,5174,Sat
2016-03-13,56,12,1,7,0,0,0,1466,3221,4687,Sun
2016-03-14,46,12,1,24,1,0,0,669,6288,6957,Mon
2016-03-15,50,12,1,19,1,1,0,738,6347,7085,Tue
2016-03-16,56,12,1,6,0,0,0,885,5822,6707,Wed
2016-03-17,54,12,,6,0,0,0,878,6262,7140,Thu
2016-03-18,50,12,,5,0,0,0,927,5612,6539,Fri
2016-03-19,41,12,,3,0,0,0,1559,3830,5389,Sat
2016-03-20,38,12,1,18,1,0,0,1348,3653,5001,Sun
2016-03-21,41,12,1,6,0,0,0,655,5753,6408,Mon
2016-03-22,46,12,,1,0,0,0,787,6035,6822,Tue
2016-03-23,60,12,,0,0,0,0,1035,5786,6821,Wed
2016-03-24,50,12,1,11,1,0,0,951,5437,6388,Thu
2016-03-25,58,12,1,16,1,1,0,1143,4486,5629,Fri
2016-03-26,46,12,,2,0,0,0,1569,3520,5089,Sat
2016-03-27,49,12,,15,1,0,0,1418,3131,4549,Sun
2016-03-28,52,13,1,19,1,1,0,639,5367,6006,Mon
2016-03-29,46,13,,1,0,0,0,685,6962,7647,Tue
2016-03-30,46,13,,0,0,0,0,806,6477,7283,Wed
2016-03-31,61,13,,3,0,0,0,865,5794,6659,Thu
2016-04-01,70,13,1,19,1,0,0,1304,5100,6404,Fri
2016-04-02,55,13,1,17,1,1,0,1869,3339,5208,Sat
2016-04-03,42,13,1,11,1,1,1,1350,4881,6231,Sun
2016-04-04,38,13,1,23,1,1,1,641,6308,6949,Mon
2016-04-05,34,13,,6,0,0,0,727,6794,7521,Tue
2016-04-06,39,13,,2,0,0,0,794,6004,6798,Wed
2016-04-07,53,13,1,10,1,0,0,799,5499,6298,Thu
2016-04-08,45,13,,11,1,1,0,963,5639,6602,Fri
2016-04-09,40,13,1,14,1,1,1,1520,3355,4875,Sat
2016-04-10,40,13,,4,0,0,0,1315,3392,4707,Sun
2016-04-11,54,13,1,16,1,0,0,752,5939,6691,Mon
2016-04-12,52,13,1,10,1,1,0,774,5769,6543,Tue
2016-04-13,49,13,,1,0,0,0,899,5583,6482,Wed
2016-04-14,52,13,1,3,0,0,0,993,5520,6513,Thu
2016-04-15,54,13,,0,0,0,0,1121,5308,6429,Fri
2016-04-16,56,13,,0,0,0,0,1852,3224,5076,Sat
2016-04-17,60,13,,0,0,0,0,2141,2869,5010,Sun
2016-04-18,66,13,,0,0,0,0,1100,5621,6721,Mon
2016-04-19,64,14,,1,0,0,0,1128,5675,6803,Tue
2016-04-20,59,14,,0,0,0,0,916,5556,6472,Wed
2016-04-21,61,14,,0,0,0,0,973,5025,5998,Thu
2016-04-22,70,14,1,5,0,0,0,1613,5073,6686,Fri
2016-04-23,63,14,1,10,1,0,0,2099,2840,4939,Sat
2016-04-24,58,14,,0,0,0,0,1960,2785,4745,Sun
2016-04-25,60,14,,7,0,0,0,1124,5463,6587,Mon
2016-04-26,54,14,1,21,1,0,0,1026,5194,6220,Tue
2016-04-27,54,14,,12,1,1,0,993,5242,6235,Wed
2016-04-28,54,14,,8,0,0,0,1034,5276,6310,Thu
2016-04-29,52,14,1,24,1,0,0,1133,5041,6174,Fri
