date,noise_complaints,other_complaints,total
2012-07-14,937,2304,3241
2012-07-15,847,2004,2851
2012-07-16,339,5396,5735
2012-07-17,385,5370,5755
2012-07-18,279,5705,5984
2012-07-19,432,5241,5673
2012-07-20,497,4111,4608
2012-07-21,1274,1964,3238
2012-07-22,1282,1741,3023
2012-07-23,389,4817,5206
2012-07-24,439,5171,5610
2012-07-25,489,4862,5351
2012-07-26,385,5196,5581
2012-07-27,442,4880,5322
2012-07-28,925,2341,3266
2012-07-29,1108,1898,3006
2012-07-30,515,5214,5729
2012-07-31,497,4881,5378
2012-08-01,450,4844,5294
2012-08-02,428,5051,5479
2012-08-03,548,4612,5160
2012-08-04,872,2175,3047
2012-08-05,774,2100,2874
2012-08-06,412,5401,5813
2012-08-07,501,5264,5765
2012-08-08,451,4996,5447
2012-08-09,431,4597,5028
2012-08-10,452,4652,5104
2012-08-11,977,2084,3061
2012-08-12,1212,1772,2984
2012-08-13,469,5226,5695
2012-08-14,479,5139,5618
2012-08-15,398,5507,5905
2012-08-16,311,4950,5261
2012-08-17,674,4357,5031
2012-08-18,1238,2133,3371
2012-08-19,1347,1834,3181
2012-08-20,554,4842,5396
2012-08-21,612,4947,5559
2012-08-22,523,4621,5144
2012-08-23,574,4427,5001
2012-08-24,724,4291,5015
2012-08-25,1439,2154,3593
2012-08-26,1326,1702,3028
2012-08-27,487,4785,5272
2012-08-28,443,4676,5119
2012-08-29,518,4861,5379
2012-08-30,629,4631,5260
2012-08-31,690,3542,4232
2012-09-01,1209,1951,3160
2012-09-02,1409,1649,3058
2012-09-03,1035,1998,3033
2012-09-04,407,4932,5339
2012-09-05,346,4840,5186
2012-09-06,424,4969,5393
2012-09-07,541,4293,4834
2012-09-08,937,3039,3976
2012-09-09,1063,2048,3111
2012-09-10,513,5561,6074
2012-09-11,525,5088,5613
2012-09-12,641,4697,5338
2012-09-13,588,4677,5265
2012-09-14,772,4032,4804
2012-09-15,1448,2054,3502
2012-09-16,1383,1740,3123
2012-09-17,594,4573,5167
2012-09-18,392,5499,5891
2012-09-19,476,5200,5676
2012-09-20,472,4531,5003
2012-09-21,814,4427,5241
2012-09-22,1252,2087,3339
2012-09-23,1209,1804,3013
2012-09-24,552,4831,5383
2012-09-25,537,4967,5504
2012-09-26,570,4322,4892
2012-09-27,606,4836,5442
2012-09-28,686,4848,5534
2012-09-29,1377,1937,3314
2012-09-30,1242,1757,2999
2012-10-01,561,4573,5134
2012-10-02,451,4658,5109
2012-10-03,567,4968,5535
2012-10-04,545,4813,5358
2012-10-05,728,4192,4920
2012-10-06,1075,2076,3151
2012-10-07,939,1819,2758
2012-10-08,590,3606,4196
2012-10-09,405,5170,5575
2012-10-10,552,4917,5469
2012-10-11,487,5572,6059
2012-10-12,548,5817,6365
2012-10-13,979,3682,4661
2012-10-14,909,2072,2981
2012-10-15,449,5323,5772
2012-10-16,423,5217,5640
2012-10-17,544,5311,5855
2012-10-18,489,4699,5188
2012-10-19,632,3918,4550
2012-10-20,1135,2165,3300
2012-10-21,973,1979,2952
2012-10-22,523,4800,5323
2012-10-23,504,4771,5275
2012-10-24,487,4821,5308
2012-10-25,611,4417,5028
2012-10-26,803,4139,4942
2012-10-27,1359,2266,3625
2012-10-28,877,1292,2169
2012-10-29,169,5951,6120
2012-10-30,89,6032,6121
2012-10-31,155,6900,7055
2012-11-01,260,5939,6199
2012-11-02,314,6931,7245
2012-11-03,512,4728,5240
2012-11-04,499,3686,4185
2012-11-05,226,6930,7156
2012-11-06,294,6411,6705
2012-11-07,263,8262,8525
2012-11-08,279,9130,9409
2012-11-09,419,6007,6426
2012-11-10,741,3375,4116
2012-11-11,675,2583,3258
2012-11-12,462,4217,4679
2012-11-13,344,5721,6065
2012-11-14,403,5881,6284
2012-11-15,395,5927,6322
2012-11-16,444,5292,5736
2012-11-17,776,3084,3860
2012-11-18,780,3019,3799
2012-11-19,396,6356,6752
2012-11-20,383,5553,5936
2012-11-21,417,4127,4544
2012-11-22,643,1866,2509
2012-11-23,680,3324,4004
2012-11-24,684,3389,4073
2012-11-25,626,3367,3993
2012-11-26,363,6286,6649
2012-11-27,366,6234,6600
2012-11-28,407,6016,6423
2012-11-29,424,5942,6366
2012-11-30,514,5129,5643
2012-12-01,796,3718,4514
2012-12-02,828,2230,3058
2012-12-03,400,5309,5709
2012-12-04,407,5099,5506
2012-12-05,430,5541,5971
2012-12-06,425,5911,6336
2012-12-07,551,5085,5636
2012-12-08,907,2588,3495
2012-12-09,827,2453,3280
2012-12-10,421,5346,5767
2012-12-11,416,5344,5760
2012-12-12,518,5493,6011
2012-12-13,450,5325,5775
2012-12-14,589,4657,5246
2012-12-15,883,2776,3659
2012-12-16,816,2474,3290
2012-12-17,374,5523,5897
2012-12-18,390,5119,5509
2012-12-19,422,5387,5809
2012-12-20,456,4953,5409
2012-12-21,464,5400,5864
2012-12-22,664,3632,4296
2012-12-23,748,2547,3295
2012-12-24,691,3244,3935
2012-12-25,612,1752,2364
2012-12-26,368,5965,6333
2012-12-27,386,7086,7472
2012-12-28,532,5415,5947
2012-12-29,660,3186,3846
2012-12-30,729,3323,4052
2012-12-31,548,4458,5006
2013-01-01,682,2649,3331
2013-01-02,392,6777,7169
2013-01-03,433,6309,6742
2013-01-04,463,5622,6085
2013-01-05,760,3264,4024
2013-01-06,763,2573,3336
2013-01-07,412,5693,6105
2013-01-08,405,5917,6322
2013-01-09,470,5371,5841
2013-01-10,444,5271,5715
2013-01-11,514,4756,5270
2013-01-12,937,2476,3413
2013-01-13,889,2151,3040
2013-01-14,455,4963,5418
2013-01-15,381,5453,5834
2013-01-16,407,5192,5599
2013-01-17,448,4717,5165
2013-01-18,548,5424,5972
2013-01-19,837,2910,3747
2013-01-20,777,1755,2532
2013-01-21,575,4487,5062
2013-01-22,404,7744,8148
2013-01-23,408,7914,8322
2013-01-24,411,11321,11732
2013-01-25,557,7628,8185
2013-01-26,712,4765,5477
2013-01-27,819,3826,4645
2013-01-28,467,6514,6981
2013-01-29,424,5927,6351
2013-01-30,431,5603,6034
2013-01-31,440,6704,7144
2013-02-01,502,6313,6815
2013-02-02,863,3763,4626
2013-02-03,874,3024,3898
2013-02-04,440,6163,6603
2013-02-05,407,6146,6553
2013-02-06,448,5692,6140
2013-02-07,408,5625,6033
2013-02-08,501,4835,5336
2013-02-09,672,3011,3683
2013-02-10,767,3312,4079
2013-02-11,435,5969,6404
2013-02-12,447,5562,6009
2013-02-13,477,5494,5971
2013-02-14,531,5043,5574
2013-02-15,609,4609,5218
2013-02-16,822,2669,3491
2013-02-17,784,2890,3674
2013-02-18,507,4833,5340
2013-02-19,423,5906,6329
2013-02-20,388,5504,5892
2013-02-21,464,6763,7227
2013-02-22,543,5543,6086
2013-02-23,911,2836,3747
2013-02-24,897,2567,3464
2013-02-25,468,5716,6184
2013-02-26,413,5376,5789
2013-02-27,418,6268,6686
2013-02-28,511,5158,5669
2013-03-01,528,4665,5193
2013-03-02,787,2726,3513
2013-03-03,799,2561,3360
2013-03-04,383,5632,6015
2013-03-05,389,5673,6062
2013-03-06,435,6131,6566
2013-03-07,441,5491,5932
2013-03-08,540,4597,5137
2013-03-09,879,2652,3531
2013-03-10,950,2157,3107
2013-03-11,509,5558,6067
2013-03-12,453,5538,5991
2013-03-13,535,5250,5785
2013-03-14,409,5677,6086
2013-03-15,694,4741,5435
2013-03-16,915,2661,3576
2013-03-17,931,2396,3327
2013-03-18,466,5991,6457
2013-03-19,418,5992,6410
2013-03-20,487,5382,5869
2013-03-21,498,4997,5495
2013-03-22,577,5093,5670
2013-03-23,903,2771,3674
2013-03-24,943,2188,3131
2013-03-25,485,4964,5449
2013-03-26,502,4992,5494
2013-03-27,566,4936,5502
2013-03-28,593,4349,4942
2013-03-29,722,3716,4438
2013-03-30,936,2202,3138
2013-03-31,910,1824,2734
2013-04-01,525,5051,5576
2013-04-02,478,5389,5867
2013-04-03,467,5533,6000
2013-04-04,517,5058,5575
2013-04-05,586,4658,5244
2013-04-06,956,2467,3423
2013-04-07,916,2193,3109
2013-04-08,547,5134,5681
2013-04-09,679,4861,5540
2013-04-10,594,4911,5505
2013-04-11,507,4773,5280
2013-04-12,579,4950,5529
2013-04-13,1079,2481,3560
2013-04-14,1017,2157,3174
2013-04-15,568,4791,5359
2013-04-16,543,5074,5617
2013-04-17,632,4729,5361
2013-04-18,581,4513,5094
2013-04-19,688,4246,4934
2013-04-20,1022,2284,3306
2013-04-21,1008,2539,3547
2013-04-22,515,5105,5620
2013-04-23,454,5384,5838
2013-04-24,566,4557,5123
2013-04-25,563,4776,5339
2013-04-26,721,4306,5027
2013-04-27,1247,2526,3773
2013-04-28,1275,1992,3267
2013-04-29,523,4874,5397
2013-04-30,552,4703,5255
2013-05-01,599,4668,5267
2013-05-02,676,4116,4792
2013-05-03,726,4579,5305
2013-05-04,1299,2221,3520
2013-05-05,1245,1939,3184
2013-05-06,664,5029,5693
2013-05-07,637,4675,5312
2013-05-08,517,5848,6365
2013-05-09,635,4819,5454
2013-05-10,696,3734,4430
2013-05-11,1368,2410,3778
2013-05-12,1340,2088,3428
2013-05-13,545,5266,5811
2013-05-14,561,4859,5420
2013-05-15,593,4717,5310
2013-05-16,741,4563,5304
2013-05-17,1001,4007,5008
2013-05-18,1535,2374,3909
2013-05-19,1149,1922,3071
2013-05-20,685,5330,6015
2013-05-21,736,4834,5570
2013-05-22,665,4976,5641
2013-05-23,522,4709,5231
2013-05-24,498,3815,4313
2013-05-25,806,2530,3336
2013-05-26,1436,1926,3362
2013-05-27,1578,1987,3565
2013-05-28,632,5069,5701
2013-05-29,616,5328,5944
2013-05-30,763,5007,5770
2013-05-31,745,4724,5469
2013-06-01,1253,2745,3998
2013-06-02,1119,2391,3510
2013-06-03,376,5132,5508
2013-06-04,562,5223,5785
2013-06-05,710,5295,6005
2013-06-06,594,4848,5442
2013-06-07,445,4883,5328
2013-06-08,1348,2980,4328
2013-06-09,1717,2222,3939
2013-06-10,498,5239,5737
2013-06-11,515,5714,6229
2013-06-12,685,5381,6066
2013-06-13,461,5340,5801
2013-06-14,651,4956,5607
2013-06-15,1778,2141,3919
2013-06-16,1948,1776,3724
2013-06-17,637,5295,5932
2013-06-18,464,5539,6003
2013-06-19,677,5035,5712
2013-06-20,714,4884,5598
2013-06-21,984,4424,5408
2013-06-22,1605,2212,3817
2013-06-23,1413,2087,3500
2013-06-24,532,5493,6025
2013-06-25,470,5564,6034
2013-06-26,480,5308,5788
2013-06-27,417,5272,5689
2013-06-28,578,4908,5486
2013-06-29,1228,2332,3560
2013-06-30,1114,1993,3107
2013-07-01,464,5318,5782
2013-07-02,426,5166,5592
2013-07-03,476,5036,5512
2013-07-04,1043,2095,3138
2013-07-05,706,3954,4660
2013-07-06,983,2379,3362
2013-07-07,942,2415,3357
2013-07-08,340,5801,6141
2013-07-09,389,5957,6346
2013-07-10,378,5642,6020
2013-07-11,431,5032,5463
2013-07-12,471,4504,4975
2013-07-13,1061,2170,3231
2013-07-14,1106,2186,3292
2013-07-15,400,5792,6192
2013-07-16,414,5991,6405
2013-07-17,403,6039,6442
2013-07-18,386,5892,6278
2013-07-19,412,5573,5985
2013-07-20,771,3039,3810
2013-07-21,1069,2623,3692
2013-07-22,431,5671,6102
2013-07-23,371,5470,5841
2013-07-24,443,5149,5592
2013-07-25,560,4742,5302
2013-07-26,757,4621,5378
2013-07-27,1418,2028,3446
2013-07-28,1178,1829,3007
2013-07-29,429,5530,5959
2013-07-30,509,4928,5437
2013-07-31,605,4967,5572
2013-08-01,434,4386,4820
2013-08-02,694,4397,5091
2013-08-03,1334,1913,3247
2013-08-04,1401,1803,3204
2013-08-05,649,5270,5919
2013-08-06,593,5325,5918
2013-08-07,620,4587,5207
2013-08-08,520,4400,4920
2013-08-09,505,4165,4670
2013-08-10,1360,1809,3169
2013-08-11,1392,1695,3087
2013-08-12,532,4896,5428
2013-08-13,517,5100,5617
2013-08-14,651,4736,5387
2013-08-15,762,4501,5263
2013-08-16,950,4182,5132
2013-08-17,1646,2033,3679
2013-08-18,1505,1857,3362
2013-08-19,572,4793,5365
2013-08-20,563,4896,5459
2013-08-21,547,4414,4961
2013-08-22,503,4497,5000
2013-08-23,743,4188,4931
2013-08-24,1676,1853,3529
2013-08-25,1620,1627,3247
2013-08-26,524,4583,5107
2013-08-27,518,4547,5065
2013-08-28,484,4749,5233
2013-08-29,574,4585,5159
2013-08-30,760,3725,4485
2013-08-31,1323,1812,3135
2013-09-01,1408,1593,3001
2013-09-02,876,2139,3015
2013-09-03,554,5163,5717
2013-09-04,619,4642,5261
2013-09-05,616,4603,5219
2013-09-06,826,3913,4739
2013-09-07,1564,2057,3621
2013-09-08,1419,1972,3391
2013-09-09,602,4672,5274
2013-09-10,571,4736,5307
2013-09-11,452,4918,5370
2013-09-12,326,5015,5341
2013-09-13,647,4147,4794
2013-09-14,1245,1835,3080
2013-09-15,1385,1838,3223
2013-09-16,522,4773,5295
2013-09-17,536,4419,4955
2013-09-18,613,5110,5723
2013-09-19,356,4508,4864
2013-09-20,752,3599,4351
2013-09-21,1400,2237,3637
2013-09-22,1041,2030,3071
2013-09-23,540,4162,4702
2013-09-24,639,4986,5625
2013-09-25,724,4525,5249
2013-09-26,685,4466,5151
2013-09-27,758,4065,4823
2013-09-28,1508,1958,3466
2013-09-29,1370,1788,3158
2013-09-30,573,4821,5394
2013-10-01,557,5094,5651
2013-10-02,648,5051,5699
2013-10-03,691,4980,5671
2013-10-04,721,4737,5458
2013-10-05,1272,1949,3221
2013-10-06,1111,1724,2835
2013-10-07,489,5272,5761
2013-10-08,565,5367,5932
2013-10-09,641,5111,5752
2013-10-10,582,4731,5313
2013-10-11,701,4105,4806
2013-10-12,1150,1711,2861
2013-10-13,1118,1432,2550
2013-10-14,663,3105,3768
2013-10-15,605,4849,5454
2013-10-16,660,5031,5691
2013-10-17,686,4569,5255
2013-10-18,826,4262,5088
2013-10-19,1266,2094,3360
2013-10-20,1070,1885,2955
2013-10-21,573,5336,5909
2013-10-22,531,5033,5564
2013-10-23,564,6178,6742
2013-10-24,517,6475,6992
2013-10-25,616,6154,6770
2013-10-26,1139,3018,4157
2013-10-27,1135,2260,3395
2013-10-28,483,5322,5805
2013-10-29,450,5951,6401
2013-10-30,557,5173,5730
2013-10-31,656,4490,5146
2013-11-01,756,4341,5097
2013-11-02,1392,2093,3485
2013-11-03,1102,2758,3860
2013-11-04,436,6058,6494
2013-11-05,560,5311,5871
2013-11-06,542,5003,5545
2013-11-07,499,4933,5432
2013-11-08,657,5525,6182
2013-11-09,955,2643,3598
2013-11-10,955,2395,3350
2013-11-11,556,3871,4427
2013-11-12,359,6837,7196
2013-11-13,449,6785,7234
2013-11-14,437,5886,6323
2013-11-15,652,4712,5364
2013-11-16,1104,2828,3932
2013-11-17,1059,1904,2963
2013-11-18,406,5354,5760
2013-11-19,460,6351,6811
2013-11-20,453,5743,6196
2013-11-21,557,5726,6283
2013-11-22,617,3789,4406
2013-11-23,1014,1444,2458
2013-11-24,770,5253,6023
2013-11-25,385,9239,9624
2013-11-26,375,6947,7322
2013-11-27,432,5336,5768
2013-11-28,708,2453,3161
2013-11-29,767,3812,4579
2013-11-30,822,3368,4190
2013-12-01,864,2368,3232
2013-12-02,432,5057,5489
2013-12-03,502,5440,5942
2013-12-04,497,5297,5794
2013-12-05,552,5203,5755
2013-12-06,570,4872,5442
2013-12-07,928,2961,3889
2013-12-08,975,3450,4425
2013-12-09,397,6218,6615
2013-12-10,451,6265,6716
2013-12-11,427,6420,6847
2013-12-12,449,7159,7608
2013-12-13,576,6098,6674
2013-12-14,855,3514,4369
2013-12-15,728,3728,4456
2013-12-16,454,6592,7046
2013-12-17,426,6058,6484
2013-12-18,396,5803,6199
2013-12-19,437,5286,5723
2013-12-20,595,4603,5198
2013-12-21,1007,2302,3309
2013-12-22,978,2241,3219
2013-12-23,529,5195,5724
2013-12-24,659,3866,4525
2013-12-25,872,2299,3171
2013-12-26,453,5536,5989
2013-12-27,482,4883,5365
2013-12-28,743,2561,3304
2013-12-29,619,2726,3345
2013-12-30,540,5514,6054
2013-12-31,585,4846,5431
2014-01-01,961,2861,3822
2014-01-02,335,5906,6241
2014-01-03,453,5901,6354
2014-01-04,619,6753,7372
2014-01-05,755,4800,5555
2014-01-06,385,6701,7086
2014-01-07,381,10986,11367
2014-01-08,402,10596,10998
2014-01-09,394,8250,8644
2014-01-10,487,6236,6723
2014-01-11,926,3444,4370
2014-01-12,1002,3538,4540
2014-01-13,489,5940,6429
2014-01-14,454,6289,6743
2014-01-15,491,6087,6578
2014-01-16,522,5991,6513
2014-01-17,626,5739,6365
2014-01-18,967,3042,4009
2014-01-19,980,3303,4283
2014-01-20,644,3956,4600
2014-01-21,419,6375,6794
2014-01-22,350,8421,8771
2014-01-23,375,9844,10219
2014-01-24,477,8685,9162
2014-01-25,869,5476,6345
2014-01-26,910,4543,5453
2014-01-27,453,7506,7959
2014-01-28,478,8001,8479
2014-01-29,523,7295,7818
2014-01-30,524,7578,8102
2014-01-31,615,5313,5928
2014-02-01,1065,3514,4579
2014-02-02,1001,2516,3517
2014-02-03,482,5683,6165
2014-02-04,439,6463,6902
2014-02-05,432,6648,7080
2014-02-06,424,8352,8776
2014-02-07,594,7078,7672
2014-02-08,897,4604,5501
2014-02-09,826,3835,4661
2014-02-10,453,6836,7289
2014-02-11,431,7373,7804
2014-02-12,438,6764,7202
2014-02-13,447,5815,6262
2014-02-14,521,6178,6699
2014-02-15,977,3859,4836
2014-02-16,837,4004,4841
2014-02-17,671,6167,6838
2014-02-18,542,6295,6837
2014-02-19,538,6562,7100
2014-02-20,411,6143,6554
2014-02-21,763,6012,6775
2014-02-22,1063,3302,4365
2014-02-23,1031,3324,4355
2014-02-24,471,6878,7349
2014-02-25,478,6902,7380
2014-02-26,433,6795,7228
2014-02-27,464,6721,7185
2014-02-28,664,6931,7595
2014-03-01,1061,3746,4807
2014-03-02,924,3172,4096
2014-03-03,444,6247,6691
2014-03-04,490,6569,7059
2014-03-05,465,6225,6690
2014-03-06,501,6436,6937
2014-03-07,635,5295,5930
2014-03-08,1084,3272,4356
2014-03-09,959,2986,3945
2014-03-10,511,5799,6310
2014-03-11,602,5477,6079
2014-03-12,546,5468,6014
2014-03-13,470,6339,6809
2014-03-14,663,5636,6299
2014-03-15,1163,2959,4122
2014-03-16,1166,3109,4275
2014-03-17,570,5572,6142
2014-03-18,574,5965,6539
2014-03-19,524,5919,6443
2014-03-20,608,5649,6257
2014-03-21,725,5124,5849
2014-03-22,1172,3353,4525
2014-03-23,1100,3060,4160
2014-03-24,567,6553,7120
2014-03-25,493,5510,6003
2014-03-26,533,5579,6112
2014-03-27,594,5333,5927
2014-03-28,782,4464,5246
2014-03-29,1087,2872,3959
2014-03-30,860,3589,4449
2014-03-31,504,5765,6269
2014-04-01,656,5560,6216
2014-04-02,679,5375,6054
2014-04-03,695,5200,5895
2014-04-04,671,5023,5694
2014-04-05,1028,3240,4268
2014-04-06,1157,2645,3802
2014-04-07,514,5325,5839
2014-04-08,611,5599,6210
2014-04-09,616,5141,5757
2014-04-10,654,5111,5765
2014-04-11,857,4796,5653
2014-04-12,1456,2376,3832
2014-04-13,1531,2334,3865
2014-04-14,817,5021,5838
2014-04-15,554,4577,5131
2014-04-16,581,5473,6054
2014-04-17,661,5239,5900
2014-04-18,776,4136,4912
2014-04-19,1297,2225,3522
2014-04-20,1286,1948,3234
2014-04-21,753,4969,5722
2014-04-22,668,4899,5567
2014-04-23,608,5224,5832
2014-04-24,645,5124,5769
2014-04-25,803,4661,5464
2014-04-26,1415,2701,4116
2014-04-27,1322,2421,3743
2014-04-28,718,5348,6066
2014-04-29,513,5414,5927
2014-04-30,383,6916,7299
2014-05-01,705,7125,7830
2014-05-02,1014,4863,5877
2014-05-03,1625,2769,4394
2014-05-04,1433,2356,3789
2014-05-05,739,5850,6589
2014-05-06,731,5633,6364
2014-05-07,672,5178,5850
2014-05-08,686,5438,6124
2014-05-09,898,4747,5645
2014-05-10,1638,2771,4409
2014-05-11,2133,2254,4387
2014-05-12,997,5692,6689
2014-05-13,744,5386,6130
2014-05-14,721,5510,6231
2014-05-15,525,5164,5689
2014-05-16,851,5318,6169
2014-05-17,1836,3177,5013
2014-05-18,1931,2549,4480
2014-05-19,728,5401,6129
2014-05-20,872,5550,6422
2014-05-21,872,5627,6499
2014-05-22,713,5116,5829
2014-05-23,837,4677,5514
2014-05-24,1419,2401,3820
2014-05-25,2516,2021,4537
2014-05-26,2372,2395,4767
2014-05-27,861,6193,7054
2014-05-28,615,5589,6204
2014-05-29,694,5265,5959
2014-05-30,960,5354,6314
2014-05-31,2033,2582,4615
2014-06-01,2152,2425,4577
2014-06-02,938,5417,6355
2014-06-03,746,5490,6236
2014-06-04,860,5494,6354
2014-06-05,750,5178,5928
2014-06-06,1120,4803,5923
2014-06-07,2106,2556,4662
2014-06-08,2108,2351,4459
2014-06-09,740,6046,6786
2014-06-10,847,5982,6829
2014-06-11,792,5470,6262
2014-06-12,732,5310,6042
2014-06-13,770,5665,6435
2014-06-14,2109,2691,4800
2014-06-15,2700,2161,4861
2014-06-16,1036,5995,7031
2014-06-17,741,6125,6866
2014-06-18,641,6410,7051
2014-06-19,669,5867,6536
2014-06-20,1062,5290,6352
2014-06-21,2285,2750,5035
2014-06-22,2101,2396,4497
2014-06-23,811,5729,6540
2014-06-24,836,6305,7141
2014-06-25,661,5709,6370
2014-06-26,730,5878,6608
2014-06-27,1138,5092,6230
2014-06-28,2116,2535,4651
2014-06-29,1945,2473,4418
2014-06-30,849,5661,6510
2014-07-01,720,5901,6621
2014-07-02,471,6264,6735
2014-07-03,471,5925,6396
2014-07-04,1264,2107,3371
2014-07-05,2139,2366,4505
2014-07-06,1936,2305,4241
2014-07-07,640,6176,6816
2014-07-08,515,6414,6929
2014-07-09,533,6966,7499
2014-07-10,691,5881,6572
2014-07-11,937,5084,6021
2014-07-12,1691,2708,4399
2014-07-13,1742,2194,3936
2014-07-14,437,6142,6579
2014-07-15,380,6703,7083
2014-07-16,669,6034,6703
2014-07-17,770,5569,6339
2014-07-18,1045,4923,5968
2014-07-19,2023,2296,4319
2014-07-20,1825,2369,4194
2014-07-21,778,5621,6399
2014-07-22,683,5481,6164
2014-07-23,481,5502,5983
2014-07-24,691,5307,5998
2014-07-25,1020,4683,5703
2014-07-26,1912,2577,4489
2014-07-27,1721,2375,4096
2014-07-28,727,5840,6567
2014-07-29,834,5158,5992
2014-07-30,796,5073,5869
2014-07-31,751,4842,5593
2014-08-01,969,4511,5480
2014-08-02,1810,2351,4161
2014-08-03,1770,2143,3913
2014-08-04,559,4726,5285
2014-08-05,797,5585,6382
2014-08-06,737,5265,6002
2014-08-07,787,5021,5808
2014-08-08,1050,4983,6033
2014-08-09,2016,2317,4333
2014-08-10,1896,2184,4080
2014-08-11,736,5488,6224
2014-08-12,544,5183,5727
2014-08-13,608,5594,6202
2014-08-14,837,4689,5526
2014-08-15,1104,4146,5250
2014-08-16,2331,2279,4610
2014-08-17,1979,1966,3945
2014-08-18,821,5132,5953
2014-08-19,773,5361,6134
2014-08-20,773,5132,5905
2014-08-21,725,4693,5418
2014-08-22,797,4261,5058
2014-08-23,2260,2270,4530
2014-08-24,2085,2117,4202
2014-08-25,788,4976,5764
2014-08-26,689,5220,5909
2014-08-27,647,4788,5435
2014-08-28,779,4977,5756
2014-08-29,1049,4151,5200
2014-08-30,2050,1984,4034
2014-08-31,1897,2007,3904
2014-09-01,1447,2491,3938
2014-09-02,579,5882,6461
2014-09-03,557,5394,5951
2014-09-04,665,5686,6351
2014-09-05,807,5128,5935
2014-09-06,1542,2889,4431
2014-09-07,1541,2382,3923
2014-09-08,698,5557,6255
2014-09-09,635,4937,5572
2014-09-10,691,4999,5690
2014-09-11,698,4966,5664
2014-09-12,1010,4393,5403
2014-09-13,1577,2111,3688
2014-09-14,1750,1759,3509
2014-09-15,808,4777,5585
2014-09-16,735,5128,5863
2014-09-17,812,5380,6192
2014-09-18,876,4984,5860
2014-09-19,1061,4519,5580
2014-09-20,2173,2408,4581
2014-09-21,1854,2200,4054
2014-09-22,672,5324,5996
2014-09-23,674,4963,5637
2014-09-24,821,4892,5713
2014-09-25,743,3924,4667
2014-09-26,1183,4228,5411
2014-09-27,2242,2335,4577
2014-09-28,1783,2099,3882
2014-09-29,752,5598,6350
2014-09-30,569,4930,5499
2014-10-01,801,4961,5762
2014-10-02,819,4761,5580
2014-10-03,1053,4282,5335
2014-10-04,1658,2427,4085
2014-10-05,1564,2501,4065
2014-10-06,701,5472,6173
2014-10-07,751,5198,5949
2014-10-08,773,4957,5730
2014-10-09,743,4648,5391
2014-10-10,1055,4254,5309
2014-10-11,1574,2427,4001
2014-10-12,1683,2347,4030
2014-10-13,897,3159,4056
2014-10-14,820,5011,5831
2014-10-15,716,4975,5691
2014-10-16,773,4950,5723
2014-10-17,1026,4439,5465
2014-10-18,1655,2537,4192
2014-10-19,1326,3305,4631
2014-10-20,657,7220,7877
2014-10-21,735,5442,6177
2014-10-22,566,5491,6057
2014-10-23,612,6607,7219
2014-10-24,935,5414,6349
2014-10-25,1712,2985,4697
2014-10-26,1548,2642,4190
2014-10-27,703,5956,6659
2014-10-28,746,5434,6180
2014-10-29,728,4849,5577
2014-10-30,746,5888,6634
2014-10-31,960,5463,6423
2014-11-01,1352,4265,5617
2014-11-02,1167,5162,6329
2014-11-03,629,7144,7773
2014-11-04,664,4681,5345
2014-11-05,723,5286,6009
2014-11-06,601,5495,6096
2014-11-07,745,5506,6251
2014-11-08,1284,4098,5382
2014-11-09,1279,2920,4199
2014-11-10,729,5844,6573
2014-11-11,839,3933,4772
2014-11-12,689,5123,5812
2014-11-13,643,6465,7108
2014-11-14,796,6281,7077
2014-11-15,1392,4513,5905
2014-11-16,1292,3809,5101
2014-11-17,581,6617,7198
2014-11-18,529,8539,9068
2014-11-19,546,8467,9013
2014-11-20,619,6462,7081
2014-11-21,751,6315,7066
2014-11-22,1330,3523,4853
2014-11-23,1368,2647,4015
2014-11-24,653,5393,6046
2014-11-25,651,4680,5331
2014-11-26,566,4968,5534
2014-11-27,910,2647,3557
2014-11-28,907,4319,5226
2014-11-29,1053,3530,4583
2014-11-30,1107,3054,4161
2014-12-01,602,6272,6874
2014-12-02,595,6357,6952
2014-12-03,645,5577,6222
2014-12-04,679,5914,6593
2014-12-05,733,5297,6030
2014-12-06,1157,3120,4277
2014-12-07,1118,3776,4894
2014-12-08,630,7511,8141
2014-12-09,496,8409,8905
2014-12-10,554,6405,6959
2014-12-11,602,5863,6465
2014-12-12,785,5614,6399
2014-12-13,1304,3461,4765
2014-12-14,1189,2912,4101
2014-12-15,662,5567,6229
2014-12-16,667,5433,6100
2014-12-17,691,5143,5834
2014-12-18,678,5261,5939
2014-12-19,791,4730,5521
2014-12-20,1107,3399,4506
2014-12-21,1199,2937,4136
2014-12-22,632,5587,6219
2014-12-23,575,4391,4966
2014-12-24,889,3324,4213
2014-12-25,1225,1715,2940
2014-12-26,654,3450,4104
2014-12-27,972,2505,3477
2014-12-28,1034,2625,3659
2014-12-29,646,6039,6685
2014-12-30,678,5649,6327
2014-12-31,724,4490,5214
2015-01-01,1245,2933,4178
2015-01-02,669,4669,5338
2015-01-03,1025,3115,4140
2015-01-04,988,2879,3867
2015-01-05,540,6583,7123
2015-01-06,528,7105,7633
2015-01-07,478,8512,8990
2015-01-08,520,10798,11318
2015-01-09,640,7379,8019
2015-01-10,1084,4921,6005
2015-01-11,1106,4212,5318
2015-01-12,541,6050,6591
2015-01-13,539,6414,6953
2015-01-14,496,5605,6101
2015-01-15,520,4915,5435
2015-01-16,744,5092,5836
2015-01-17,1110,3961,5071
