date,noise_complaints,other_complaints,total
2010-07-31,773,2096,2869
2010-08-01,699,1832,2531
2010-08-02,533,5995,6528
2010-08-03,538,5724,6262
2010-08-04,453,5720,6173
2010-08-05,378,5671,6049
2010-08-06,489,4914,5403
2010-08-07,911,2232,3143
2010-08-08,777,1823,2600
2010-08-09,456,5665,6121
2010-08-10,386,5821,6207
2010-08-11,409,5412,5821
2010-08-12,385,5031,5416
2010-08-13,616,4676,5292
2010-08-14,1044,1989,3033
2010-08-15,764,1732,2496
2010-08-16,451,5370,5821
2010-08-17,438,5565,6003
2010-08-18,404,5118,5522
2010-08-19,504,5160,5664
2010-08-20,515,4576,5091
2010-08-21,991,2175,3166
2010-08-22,647,2002,2649
2010-08-23,433,5958,6391
2010-08-24,549,5362,5911
2010-08-25,492,5328,5820
2010-08-26,610,4917,5527
2010-08-27,711,4730,5441
2010-08-28,1118,2151,3269
2010-08-29,939,1978,2917
2010-08-30,468,5615,6083
2010-08-31,292,5229,5521
2010-09-01,441,5710,6151
2010-09-02,402,5251,5653
2010-09-03,475,5062,5537
2010-09-04,1020,2238,3258
2010-09-05,1147,1547,2694
2010-09-06,1018,1819,2837
2010-09-07,466,5748,6214
2010-09-08,392,5430,5822
2010-09-09,530,4927,5457
2010-09-10,700,4625,5325
2010-09-11,1047,1903,2950
2010-09-12,878,1787,2665
2010-09-13,449,5646,6095
2010-09-14,564,5399,5963
2010-09-15,524,5298,5822
2010-09-16,360,6891,7251
2010-09-17,548,7986,8534
2010-09-18,1094,3261,4355
2010-09-19,952,2458,3410
2010-09-20,534,6182,6716
2010-09-21,533,5854,6387
2010-09-22,486,5571,6057
2010-09-23,592,5346,5938
2010-09-24,652,5165,5817
2010-09-25,896,2603,3499
2010-09-26,1027,2218,3245
2010-09-27,443,5948,6391
2010-09-28,452,5967,6419
2010-09-29,557,5629,6186
2010-09-30,446,6125,6571
2010-10-01,532,6540,7072
2010-10-02,987,2656,3643
2010-10-03,849,2337,3186
2010-10-04,421,6514,6935
2010-10-05,470,5777,6247
2010-10-06,464,5731,6195
2010-10-07,513,5500,6013
2010-10-08,687,5045,5732
2010-10-09,928,2253,3181
2010-10-10,1033,1965,2998
2010-10-11,606,3265,3871
2010-10-12,484,6189,6673
2010-10-13,552,5771,6323
2010-10-14,476,5826,6302
2010-10-15,489,5889,6378
2010-10-16,795,3913,4708
2010-10-17,827,2603,3430
2010-10-18,428,6556,6984
2010-10-19,506,6678,7184
2010-10-20,466,6698,7164
2010-10-21,441,6458,6899
2010-10-22,502,6408,6910
2010-10-23,876,3564,4440
2010-10-24,823,2129,2952
2010-10-25,551,5506,6057
2010-10-26,574,5393,5967
2010-10-27,457,5086,5543
2010-10-28,539,4889,5428
2010-10-29,547,5011,5558
2010-10-30,795,3387,4182
2010-10-31,673,3195,3868
2010-11-01,377,7162,7539
2010-11-02,497,6850,7347
2010-11-03,467,6660,7127
2010-11-04,397,6785,7182
2010-11-05,491,6727,7218
2010-11-06,727,3969,4696
2010-11-07,692,3612,4304
2010-11-08,341,8200,8541
2010-11-09,444,7955,8399
2010-11-10,403,7662,8065
2010-11-11,451,4625,5076
2010-11-12,574,5387,5961
2010-11-13,925,2792,3717
2010-11-14,795,2261,3056
2010-11-15,484,5839,6323
2010-11-16,442,5799,6241
2010-11-17,383,6191,6574
2010-11-18,451,5934,6385
2010-11-19,494,5862,6356
2010-11-20,703,3242,3945
2010-11-21,667,3054,3721
2010-11-22,450,5370,5820
2010-11-23,466,4830,5296
2010-11-24,446,5252,5698
2010-11-25,592,2047,2639
2010-11-26,547,3618,4165
2010-11-27,580,3897,4477
2010-11-28,597,3022,3619
2010-11-29,422,6588,7010
2010-11-30,411,6166,6577
2010-12-01,319,7166,7485
2010-12-02,363,6608,6971
2010-12-03,468,6160,6628
2010-12-04,591,4019,4610
2010-12-05,593,3704,4297
2010-12-06,375,8301,8676
2010-12-07,334,8076,8410
2010-12-08,333,7415,7748
2010-12-09,339,7264,7603
2010-12-10,473,6377,6850
2010-12-11,647,3400,4047
2010-12-12,618,2604,3222
2010-12-13,401,6901,7302
2010-12-14,371,8283,8654
2010-12-15,326,8192,8518
2010-12-16,382,7395,7777
2010-12-17,433,6233,6666
2010-12-18,610,3458,4068
2010-12-19,605,2792,3397
2010-12-20,384,6396,6780
2010-12-21,356,6513,6869
2010-12-22,378,5796,6174
2010-12-23,367,5216,5583
2010-12-24,557,2569,3126
2010-12-25,643,1853,2496
2010-12-26,305,2695,3000
2010-12-27,80,3050,3130
2010-12-28,124,4962,5086
2010-12-29,244,5816,6060
2010-12-30,329,5312,5641
2010-12-31,457,3706,4163
2011-01-01,557,2358,2915
2011-01-02,496,2584,3080
2011-01-03,397,6633,7030
2011-01-04,332,6182,6514
2011-01-05,373,6197,6570
2011-01-06,387,5812,6199
2011-01-07,407,4868,5275
2011-01-08,582,3395,3977
2011-01-09,535,2901,3436
2011-01-10,341,6905,7246
2011-01-11,304,5999,6303
2011-01-12,337,5586,5923
2011-01-13,347,6586,6933
2011-01-14,410,6194,6604
2011-01-15,534,3295,3829
2011-01-16,618,2516,3134
2011-01-17,464,4281,4745
2011-01-18,358,6956,7314
2011-01-19,372,6419,6791
2011-01-20,401,5891,6292
2011-01-21,430,5339,5769
2011-01-22,599,4565,5164
2011-01-23,496,3904,4400
2011-01-24,351,8833,9184
2011-01-25,399,7642,8041
2011-01-26,334,5698,6032
2011-01-27,319,4376,4695
2011-01-28,457,6086,6543
2011-01-29,591,3699,4290
2011-01-30,490,3142,3632
2011-01-31,400,6595,6995
2011-02-01,366,5962,6328
2011-02-02,308,6515,6823
2011-02-03,336,7016,7352
2011-02-04,424,6169,6593
2011-02-05,619,3230,3849
2011-02-06,527,2838,3365
2011-02-07,369,6384,6753
2011-02-08,269,7501,7770
2011-02-09,320,7731,8051
2011-02-10,396,6730,7126
2011-02-11,424,5687,6111
2011-02-12,580,3359,3939
2011-02-13,572,2543,3115
2011-02-14,406,5981,6387
2011-02-15,384,6825,7209
2011-02-16,419,6381,6800
2011-02-17,454,6061,6515
2011-02-18,551,5752,6303
2011-02-19,532,3844,4376
2011-02-20,602,3250,3852
2011-02-21,469,3622,4091
2011-02-22,417,6665,7082
2011-02-23,411,6339,6750
2011-02-24,427,5347,5774
2011-02-25,467,5800,6267
2011-02-26,703,2905,3608
2011-02-27,682,2460,3142
2011-02-28,378,5970,6348
2011-03-01,400,6384,6784
2011-03-02,363,6438,6801
2011-03-03,425,6624,7049
2011-03-04,502,5437,5939
2011-03-05,702,2953,3655
2011-03-06,530,2691,3221
2011-03-07,386,6578,6964
2011-03-08,430,6343,6773
2011-03-09,374,6423,6797
2011-03-10,332,6315,6647
2011-03-11,473,6206,6679
2011-03-12,711,2879,3590
2011-03-13,586,2290,2876
2011-03-14,474,5993,6467
2011-03-15,437,6497,6934
2011-03-16,426,5767,6193
2011-03-17,559,5332,5891
2011-03-18,655,4815,5470
2011-03-19,704,2890,3594
2011-03-20,632,2400,3032
2011-03-21,375,5915,6290
2011-03-22,364,6177,6541
2011-03-23,356,5755,6111
2011-03-24,345,5670,6015
2011-03-25,461,5168,5629
2011-03-26,658,3149,3807
2011-03-27,577,2905,3482
2011-03-28,384,6184,6568
2011-03-29,381,5738,6119
2011-03-30,436,5648,6084
2011-03-31,365,5049,5414
2011-04-01,486,5281,5767
2011-04-02,665,2639,3304
2011-04-03,596,2236,2832
2011-04-04,437,5191,5628
2011-04-05,414,4988,5402
2011-04-06,434,5164,5598
2011-04-07,475,5895,6370
2011-04-08,492,5094,5586
2011-04-09,721,2368,3089
2011-04-10,615,2055,2670
2011-04-11,508,5261,5769
2011-04-12,362,5320,5682
2011-04-13,378,5494,5872
2011-04-14,511,5166,5677
2011-04-15,545,4805,5350
2011-04-16,538,3167,3705
2011-04-17,575,2245,2820
2011-04-18,519,5286,5805
2011-04-19,490,5543,6033
2011-04-20,514,5315,5829
2011-04-21,540,4963,5503
2011-04-22,539,4147,4686
2011-04-23,643,2648,3291
2011-04-24,714,1501,2215
2011-04-25,580,5489,6069
2011-04-26,617,4984,5601
2011-04-27,547,5422,5969
2011-04-28,494,5320,5814
2011-04-29,623,4448,5071
2011-04-30,852,2293,3145
2011-05-01,693,1901,2594
2011-05-02,531,5087,5618
2011-05-03,518,5427,5945
2011-05-04,463,5277,5740
2011-05-05,557,5097,5654
2011-05-06,546,4523,5069
2011-05-07,870,2062,2932
2011-05-08,772,1556,2328
2011-05-09,564,4987,5551
2011-05-10,541,5108,5649
2011-05-11,560,5390,5950
2011-05-12,527,5025,5552
2011-05-13,648,4550,5198
2011-05-14,880,2051,2931
2011-05-15,684,1723,2407
2011-05-16,509,5009,5518
2011-05-17,453,5819,6272
2011-05-18,430,5573,6003
2011-05-19,391,5385,5776
2011-05-20,840,4666,5506
2011-05-21,1109,2326,3435
2011-05-22,773,1662,2435
2011-05-23,515,4937,5452
2011-05-24,651,5372,6023
2011-05-25,623,4887,5510
2011-05-26,686,4913,5599
2011-05-27,726,4551,5277
2011-05-28,974,2036,3010
2011-05-29,886,1398,2284
2011-05-30,933,2294,3227
2011-05-31,497,6260,6757
2011-06-01,440,5239,5679
2011-06-02,478,5363,5841
2011-06-03,598,4750,5348
2011-06-04,984,2198,3182
2011-06-05,834,1621,2455
2011-06-06,574,5260,5834
2011-06-07,526,5510,6036
2011-06-08,426,5921,6347
2011-06-09,302,6037,6339
2011-06-10,446,5224,5670
2011-06-11,741,2389,3130
2011-06-12,774,1727,2501
2011-06-13,531,5300,5831
2011-06-14,487,5353,5840
2011-06-15,552,5138,5690
2011-06-16,616,5006,5622
2011-06-17,513,4820,5333
2011-06-18,1023,2435,3458
2011-06-19,1018,1706,2724
2011-06-20,542,5463,6005
2011-06-21,681,5533,6214
2011-06-22,415,5279,5694
2011-06-23,440,5240,5680
2011-06-24,620,4488,5108
2011-06-25,994,2341,3335
2011-06-26,798,1666,2464
2011-06-27,564,5484,6048
2011-06-28,527,5824,6351
2011-06-29,417,5327,5744
2011-06-30,529,5092,5621
2011-07-01,605,4388,4993
2011-07-02,912,1994,2906
2011-07-03,795,1287,2082
2011-07-04,963,1777,2740
2011-07-05,551,5695,6246
2011-07-06,310,5920,6230
2011-07-07,513,5557,6070
2011-07-08,410,4875,5285
2011-07-09,815,2230,3045
2011-07-10,859,1926,2785
2011-07-11,425,5730,6155
2011-07-12,398,6141,6539
2011-07-13,444,5580,6024
2011-07-14,552,5534,6086
2011-07-15,630,4796,5426
2011-07-16,1019,2075,3094
2011-07-17,851,1761,2612
2011-07-18,382,5552,5934
2011-07-19,396,5927,6323
2011-07-20,393,5920,6313
2011-07-21,335,6079,6414
2011-07-22,324,6683,7007
2011-07-23,496,3882,4378
2011-07-24,564,2795,3359
2011-07-25,412,5503,5915
2011-07-26,412,5473,5885
2011-07-27,413,5223,5636
2011-07-28,478,5146,5624
2011-07-29,483,5072,5555
2011-07-30,750,2552,3302
2011-07-31,769,2010,2779
2011-08-01,386,5476,5862
2011-08-02,434,5716,6150
2011-08-03,454,4546,5000
2011-08-04,502,4993,5495
2011-08-05,673,4596,5269
2011-08-06,979,2102,3081
2011-08-07,781,1787,2568
2011-08-08,455,5112,5567
2011-08-09,378,5510,5888
2011-08-10,475,5080,5555
2011-08-11,567,5082,5649
2011-08-12,774,4538,5312
2011-08-13,1096,2172,3268
2011-08-14,614,2850,3464
2011-08-15,454,6645,7099
2011-08-16,564,6303,6867
2011-08-17,613,5366,5979
2011-08-18,559,5165,5724
2011-08-19,589,5023,5612
2011-08-20,990,2361,3351
2011-08-21,839,1928,2767
2011-08-22,513,5683,6196
2011-08-23,415,5048,5463
2011-08-24,576,5405,5981
2011-08-25,349,5462,5811
2011-08-26,184,2951,3135
2011-08-27,227,1412,1639
2011-08-28,110,5546,5656
2011-08-29,387,8763,9150
2011-08-30,601,7862,8463
2011-08-31,534,5913,6447
2011-09-01,717,5453,6170
2011-09-02,791,4875,5666
2011-09-03,1170,2359,3529
2011-09-04,1258,1670,2928
2011-09-05,1152,2365,3517
2011-09-06,340,6369,6709
2011-09-07,347,5962,6309
2011-09-08,430,6749,7179
2011-09-09,607,5762,6369
2011-09-10,1057,2187,3244
2011-09-11,904,2096,3000
2011-09-12,540,5908,6448
2011-09-13,485,6006,6491
2011-09-14,435,5906,6341
2011-09-15,437,5812,6249
2011-09-16,661,5474,6135
2011-09-17,1185,2687,3872
2011-09-18,1083,1836,2919
2011-09-19,520,5232,5752
2011-09-20,510,5714,6224
2011-09-21,492,5577,6069
2011-09-22,505,5537,6042
2011-09-23,674,5925,6599
2011-09-24,938,1711,2649
2011-09-25,958,2141,3099
2011-09-26,464,6087,6551
2011-09-27,480,6072,6552
2011-09-28,448,5399,5847
2011-09-29,531,5439,5970
2011-09-30,614,4426,5040
2011-10-01,793,2279,3072
2011-10-02,820,1750,2570
2011-10-03,444,5739,6183
2011-10-04,456,5738,6194
2011-10-05,508,5318,5826
2011-10-06,540,5385,5925
2011-10-07,688,4877,5565
2011-10-08,1033,2318,3351
2011-10-09,1012,1618,2630
2011-10-10,693,3028,3721
2011-10-11,537,5243,5780
2011-10-12,462,4921,5383
2011-10-13,375,4985,5360
2011-10-14,528,5235,5763
2011-10-15,873,2427,3300
2011-10-16,856,1888,2744
2011-10-17,435,5507,5942
2011-10-18,632,5661,6293
2011-10-19,441,5673,6114
2011-10-20,536,4994,5530
2011-10-21,585,5743,6328
2011-10-22,908,3215,4123
2011-10-23,864,2631,3495
2011-10-24,447,6369,6816
2011-10-25,443,6484,6927
2011-10-26,520,6211,6731
2011-10-27,443,6844,7287
2011-10-28,537,7954,8491
2011-10-29,604,5996,6600
2011-10-30,566,5038,5604
2011-10-31,542,8079,8621
2011-11-01,480,7810,8290
2011-11-02,463,6823,7286
2011-11-03,443,6010,6453
