date,avg_temp,daylight_hours,bad_weather,hours_overcast
2009-06-25,72,1505,1,13
2009-06-26,74,1505,1,13
2009-06-27,72,1505,1,2
2009-06-28,73,1504,0,8
2009-06-29,73,1504,0,4
2009-06-30,74,1503,1,22
2009-07-01,74,1503,1,11
2009-07-02,71,1502,1,37
2009-07-03,72,1502,0,9
2009-07-04,72,1501,0,0
2009-07-05,70,1500,0,0
2009-07-06,73,1499,0,0
2009-07-07,70,1499,1,10
2009-07-08,68,1497,0,0
2009-07-09,67,1496,0,7
2009-07-10,69,1496,0,0
2009-07-11,70,1494,1,13
2009-07-12,72,1493,1,16
2009-07-13,70,1491,0,5
2009-07-14,70,1491,0,0
2009-07-15,72,1489,0,0
2009-07-16,77,1488,0,3
2009-07-17,77,1486,1,16
2009-07-18,76,1484,1,23
2009-07-19,72,1484,0,0
2009-07-20,74,1482,0,1
2009-07-21,68,1480,1,56
2009-07-22,73,1478,1,8
2009-07-23,70,1476,1,28
2009-07-24,70,1475,1,13
2009-07-25,74,1473,0,1
2009-07-26,76,1472,1,14
2009-07-27,76,1470,1,8
2009-07-28,78,1468,0,5
2009-07-29,76,1466,1,27
2009-07-30,78,1464,0,6
2009-07-31,76,1462,1,33
2009-08-01,74,1460,0,2
2009-08-02,70,1458,1,33
2009-08-03,77,1455,0,1
2009-08-04,76,1453,0,0
2009-08-05,79,1451,1,0
2009-08-06,72,1449,0,0
2009-08-07,72,1447,0,0
2009-08-08,70,1445,0,2
2009-08-09,74,1402,1,26
2009-08-10,80,1400,1,9
2009-08-11,82,1398,0,0
2009-08-12,75,1355,0,16
2009-08-13,70,1353,1,33
2009-08-14,76,1351,0,0
2009-08-15,79,1348,1,0
2009-08-16,82,1346,0,0
2009-08-17,84,1343,0,0
2009-08-18,79,1341,1,2
2009-08-19,80,1339,0,3
2009-08-20,82,1336,1,0
2009-08-21,80,1334,1,3
2009-08-22,76,1331,1,23
2009-08-23,78,1329,1,4
2009-08-24,76,1326,0,0
2009-08-25,76,1324,0,0
2009-08-26,78,1321,1,3
2009-08-27,72,1319,0,16
2009-08-28,68,1316,1,45
2009-08-29,70,1313,1,52
2009-08-30,74,1311,1,24
2009-08-31,67,1308,0,1
2009-09-01,66,1306,0,0
2009-09-02,67,1304,0,0
2009-09-03,70,1301,0,5
2009-09-04,72,1299,0,10
2009-09-05,76,1296,0,4
2009-09-06,69,1293,0,3
2009-09-07,67,1291,0,2
2009-09-08,68,1288,0,1
2009-09-09,70,1285,0,3
2009-09-10,64,1283,0,9
2009-09-11,61,1280,1,55
2009-09-12,65,1277,1,62
2009-09-13,72,1275,0,12
2009-09-14,68,1272,0,0
2009-09-15,70,1269,0,2
2009-09-16,66,1267,0,30
2009-09-17,59,1264,1,18
2009-09-18,65,1261,0,8
2009-09-19,62,1219,0,0
2009-09-20,64,1216,0,0
2009-09-21,66,1213,0,0
2009-09-22,68,1210,0,6
2009-09-23,74,1208,0,7
2009-09-24,74,1205,1,1
2009-09-25,62,1202,0,0
2009-09-26,60,1200,1,13
2009-09-27,64,1197,1,52
2009-09-28,65,1194,1,9
2009-09-29,60,1192,0,8
2009-09-30,54,1189,0,7
2009-10-01,51,1186,0,13
2009-10-02,56,1184,1,9
2009-10-03,66,1181,1,33
2009-10-04,66,1178,1,7
2009-10-05,60,1176,0,3
2009-10-06,58,1173,0,4
2009-10-07,63,1170,1,17
2009-10-08,58,1168,0,4
2009-10-09,64,1125,1,22
2009-10-10,58,1123,1,12
2009-10-11,55,1119,0,0
2009-10-12,48,1117,0,5
2009-10-13,55,1114,0,16
2009-10-14,47,1111,0,5
2009-10-15,42,1109,1,24
2009-10-16,42,1106,1,29
2009-10-17,45,1104,1,17
2009-10-18,43,1101,1,30
2009-10-19,46,1099,0,0
2009-10-20,55,1096,0,0
2009-10-21,60,1094,0,4
2009-10-22,64,1091,0,0
2009-10-23,56,1088,1,19
2009-10-24,59,1086,1,51
2009-10-25,56,1083,0,0
2009-10-26,53,1081,0,0
2009-10-27,52,1039,1,35
2009-10-28,54,1036,1,54
2009-10-29,53,1033,0,23
2009-10-30,56,1031,0,20
2009-10-31,63,1029,1,45
2009-11-01,54,1026,0,7
2009-11-02,50,1024,0,14
2009-11-03,52,1022,0,1
2009-11-04,46,1019,0,4
2009-11-05,48,1017,1,15
2009-11-06,44,1015,0,3
2009-11-07,44,1013,0,0
2009-11-08,58,1010,0,2
2009-11-09,58,1007,1,0
2009-11-10,60,1005,1,1
2009-11-11,52,1003,0,8
2009-11-12,48,1002,1,10
2009-11-13,52,1000,1,26
2009-11-14,54,998,1,55
2009-11-15,60,995,1,23
2009-11-16,54,993,0,1
2009-11-17,50,991,0,8
2009-11-18,48,990,0,8
2009-11-19,53,988,1,43
2009-11-20,54,986,1,17
2009-11-21,52,984,0,0
2009-11-22,50,982,0,5
2009-11-23,47,980,1,27
2009-11-24,53,979,0,19
2009-11-25,50,977,1,44
2009-11-26,54,976,1,29
2009-11-27,46,974,0,29
2009-11-28,46,973,0,4
2009-11-29,49,972,0,0
2009-11-30,48,970,1,23
2009-12-01,41,929,0,3
2009-12-02,48,927,1,15
2009-12-03,58,926,1,26
2009-12-04,48,925,0,0
2009-12-05,39,924,1,33
2009-12-06,36,923,0,4
2009-12-07,36,922,0,7
2009-12-08,39,921,0,3
2009-12-09,43,920,1,41
2009-12-10,36,919,0,3
2009-12-11,25,918,0,0
2009-12-12,31,917,0,0
2009-12-13,43,918,1,34
2009-12-14,43,917,0,8
2009-12-15,47,916,1,23
2009-12-16,35,915,0,0
2009-12-17,26,916,0,4
2009-12-18,23,915,0,1
2009-12-19,26,915,1,41
2009-12-20,28,915,1,28
2009-12-21,32,914,0,0
2009-12-22,30,915,0,1
2009-12-23,25,914,0,3
2009-12-24,32,915,0,1
2009-12-25,36,916,1,30
2009-12-26,46,915,1,55
2009-12-27,48,916,1,23
2009-12-28,36,917,0,10
2009-12-29,24,916,0,1
2009-12-30,26,917,0,1
2009-12-31,32,918,0,37
2010-01-01,36,919,1,43
2010-01-02,26,920,1,19
2010-01-03,20,921,1,19
2010-01-04,24,922,0,1
2010-01-05,25,923,0,9
2010-01-06,30,924,1,11
2010-01-07,34,924,0,8
2010-01-08,28,925,1,36
2010-01-09,24,926,0,0
2010-01-10,21,927,0,0
2010-01-11,26,929,0,5
2010-01-12,30,931,0,9
2010-01-13,30,932,0,7
2010-01-14,36,933,0,0
2010-01-15,42,935,0,11
2010-01-16,44,936,0,8
2010-01-17,40,938,1,27
2010-01-18,44,939,1,25
2010-01-19,44,941,0,18
2010-01-20,38,943,0,1
2010-01-21,36,985,0,0
2010-01-22,38,986,0,0
2010-01-23,34,988,0,0
2010-01-24,41,990,1,34
2010-01-25,53,993,1,46
2010-01-26,42,994,1,14
2010-01-27,35,996,0,3
2010-01-28,31,998,1,21
2010-01-29,20,1001,0,0
2010-01-30,16,1003,0,10
2010-01-31,22,1005,0,1
2010-02-01,30,1007,0,0
2010-02-02,30,1009,1,13
2010-02-03,34,1012,1,30
2010-02-04,32,1014,0,0
2010-02-05,32,1016,0,5
2010-02-06,26,1018,1,26
2010-02-07,26,1021,0,0
2010-02-08,30,1063,0,0
2010-02-09,35,1065,1,12
2010-02-10,32,1067,1,41
2010-02-11,32,1071,0,0
2010-02-12,32,1073,0,0
2010-02-13,28,1075,0,5
2010-02-14,34,1077,0,10
2010-02-15,34,1080,1,18
2010-02-16,31,1083,1,46
2010-02-17,30,1085,0,14
2010-02-18,36,1088,0,15
2010-02-19,39,1090,0,19
2010-02-20,40,1092,0,1
2010-02-21,40,1096,0,0
2010-02-22,37,1098,1,11
2010-02-23,36,1101,1,47
2010-02-24,39,1103,1,52
2010-02-25,32,1106,1,47
2010-02-26,30,1108,1,45
2010-02-27,34,1112,1,20
2010-02-28,36,1114,0,15
2010-03-01,42,1117,0,1
2010-03-02,42,1119,1,11
2010-03-03,38,1122,1,34
2010-03-04,41,1124,0,19
2010-03-05,42,1127,1,15
2010-03-06,43,1130,0,0
2010-03-07,47,1133,0,0
2010-03-08,51,1136,0,0
2010-03-09,52,1138,0,0
2010-03-10,50,1141,0,8
2010-03-11,48,1143,0,23
2010-03-12,41,1146,1,35
2010-03-13,42,1189,1,51
2010-03-14,46,1191,1,34
2010-03-15,44,1194,1,31
2010-03-16,52,1197,0,8
2010-03-17,54,1200,0,0
2010-03-18,60,1203,0,0
2010-03-19,60,1206,0,0
2010-03-20,64,1208,0,0
2010-03-21,58,1251,0,4
2010-03-22,54,1254,1,58
2010-03-23,49,1256,1,47
2010-03-24,52,1259,0,3
2010-03-25,55,1262,1,6
2010-03-26,43,1264,1,16
2010-03-27,36,1267,0,0
2010-03-28,42,1269,1,26
2010-03-29,50,1272,1,61
2010-03-30,46,1275,1,62
2010-03-31,51,1277,1,31
2010-04-01,59,1280,0,6
2010-04-02,58,1283,0,0
2010-04-03,57,1286,1,2
2010-04-04,62,1289,1,5
2010-04-05,66,1292,0,0
2010-04-06,68,1294,0,3
2010-04-07,74,1297,1,0
2010-04-08,72,1299,0,0
2010-04-09,56,1302,1,32
2010-04-10,52,1305,0,7
2010-04-11,64,1307,0,8
2010-04-12,60,1310,0,0
2010-04-13,52,1312,0,10
2010-04-14,56,1315,0,0
2010-04-15,62,1317,0,6
2010-04-16,52,1320,1,30
2010-04-17,50,1323,1,38
2010-04-18,50,1325,0,9
2010-04-19,54,1328,0,3
2010-04-20,58,1330,0,0
2010-04-21,61,1333,1,4
2010-04-22,62,1335,1,4
2010-04-23,56,1338,0,0
2010-04-24,57,1341,0,4
2010-04-25,49,1343,1,57
2010-04-26,50,1346,1,40
2010-04-27,50,1348,1,28
2010-04-28,48,1390,0,7
2010-04-29,57,1393,0,0
2010-04-30,67,1395,0,1
2010-05-01,74,1397,0,0
2010-05-02,77,1400,0,1
2010-05-03,74,1402,1,28
2010-05-04,72,1404,0,2
2010-05-05,69,1406,0,0
2010-05-06,68,1408,0,0
2010-05-07,62,1411,0,0
2010-05-08,62,1413,1,3
2010-05-09,48,1455,0,10
2010-05-10,51,1457,0,0
2010-05-11,50,1459,1,6
2010-05-12,46,1461,1,46
2010-05-13,55,1463,0,3
2010-05-14,68,1465,1,12
2010-05-15,66,1467,0,0
2010-05-16,63,1469,0,1
2010-05-17,64,1471,0,1
2010-05-18,56,1473,1,44
2010-05-19,57,1475,1,35
2010-05-20,67,1477,0,5
2010-05-21,73,1478,0,0
2010-05-22,66,1480,0,7
2010-05-23,64,1482,1,25
2010-05-24,66,1483,1,25
2010-05-25,72,1484,1,0
2010-05-26,78,1486,0,0
2010-05-27,69,1488,1,20
2010-05-28,63,1489,0,10
2010-05-29,69,1491,0,13
2010-05-30,76,1491,0,0
2010-05-31,78,1493,1,0
2010-06-01,76,1494,1,5
2010-06-02,77,1496,0,1
2010-06-03,77,1496,1,1
2010-06-04,80,1497,0,1
2010-06-05,82,1499,0,2
2010-06-06,75,1499,1,1
2010-06-07,66,1500,0,1
2010-06-08,66,1500,0,3
2010-06-09,62,1502,1,34
2010-06-10,66,1503,1,33
2010-06-11,64,1503,0,1
2010-06-12,70,1504,1,6
2010-06-13,72,1504,1,37
2010-06-14,72,1504,1,34
2010-06-15,72,1505,0,0
2010-06-16,70,1505,0,15
2010-06-17,70,1506,1,17
2010-06-18,73,1506,0,0
2010-06-19,72,1506,0,0
2010-06-20,80,1506,1,3
2010-06-21,79,1506,0,0
2010-06-22,79,1506,1,8
2010-06-23,80,1506,1,0
2010-06-24,84,1506,0,2
2010-06-25,79,1505,0,0
2010-06-26,80,1505,0,4
